method,student_id,theta,group_theta,true_score,estimated_score,items,error
CAT-EAP,854,-0.7341737987784958,Rendah,38.751869661315496,50.02194072639157,20,11.270071065076074
CAT-MLE,854,-0.7341737987784958,Rendah,38.751869661315496,35.914459265013406,24,-2.83741039630209
RB-Prior,854,-0.7341737987784958,Rendah,38.751869661315496,47.98372179060303,38,9.231852129287532
RB-NoPrior,854,-0.7341737987784958,Rendah,38.751869661315496,52.70744059213088,40,13.955570930815384
CAT-EAP,855,0.08199555641356042,Sedang,55.81197911764993,56.75130487214213,20,0.9393257544921951
CAT-MLE,855,0.08199555641356042,Sedang,55.81197911764993,48.09187137556679,21,-7.720107742083144
RB-Prior,855,0.08199555641356042,Sedang,55.81197911764993,55.45368321214037,40,-0.35829590550956425
RB-NoPrior,855,0.08199555641356042,Sedang,55.81197911764993,52.43403939056114,38,-3.377939727088794
CAT-EAP,856,0.4572804046152411,Tinggi,63.49915744197554,62.249721988124406,20,-1.2494354538511345
CAT-MLE,856,0.4572804046152411,Tinggi,63.49915744197554,72.79974616435506,20,9.300588722379516
RB-Prior,856,0.4572804046152411,Tinggi,63.49915744197554,50.771604938271615,40,-12.727552503703926
RB-NoPrior,856,0.4572804046152411,Tinggi,63.49915744197554,68.20405310971351,20,4.704895667737972
CAT-EAP,857,1.4558223221467665,Sangat Tinggi,81.00569285496107,85.4033754007209,21,4.397682545759835
CAT-MLE,857,1.4558223221467665,Sangat Tinggi,81.00569285496107,83.85543342513554,21,2.8497405701744754
RB-Prior,857,1.4558223221467665,Sangat Tinggi,81.00569285496107,69.33411214953271,40,-11.671580705428354
RB-NoPrior,857,1.4558223221467665,Sangat Tinggi,81.00569285496107,84.50993831391365,20,3.5042454589525818
CAT-EAP,858,0.7045065398247231,Tinggi,68.32116290937495,66.95885842078,20,-1.362304488594944
CAT-MLE,858,0.7045065398247231,Tinggi,68.32116290937495,73.78438137128154,21,5.463218461906592
